GEOID,Intent,Period,Count,Rate,Type,Data_As_Of,TTM_Date_Range
USA,FA_Suicide,07/01/2022,2325,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,08/01/2022,2316,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,09/01/2022,2213,8.1,month,01/13/2025,
USA,FA_Suicide,10/01/2022,2247,7.9,month,01/13/2025,
USA,FA_Suicide,11/01/2022,2154,7.9,month,01/13/2025,
USA,FA_Suicide,12/01/2022,2191,7.7,month,01/13/2025,
USA,FA_Suicide,01/01/2023,2397,8.4,month,01/13/2025,
USA,FA_Suicide,02/01/2023,2149,8.4,month,01/13/2025,
USA,FA_Suicide,03/01/2023,2288,8,month,01/13/2025,
USA,FA_Suicide,04/01/2023,2215,8,month,01/13/2025,
USA,FA_Suicide,05/01/2023,2324,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,06/01/2023,2222,8.1,month,01/13/2025,
USA,FA_Suicide,07/01/2023,2379,8.4,month,01/13/2025,
USA,FA_Suicide,08/01/2023,2411,8.5,month,01/13/2025,
USA,FA_Suicide,09/01/2023,2321,8.4,month,01/13/2025,
USA,FA_Suicide,10/01/2023,2289,8,month,01/13/2025,
USA,FA_Suicide,11/01/2023,2156,7.8,month,01/13/2025,
USA,FA_Suicide,12/01/2023,2155,7.6,month,01/13/2025,
USA,FA_Suicide,01/01/2024,2329,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,02/01/2024,2151,8.1,month,01/13/2025,
USA,FA_Suicide,03/01/2024,2280,8,month,01/13/2025,
USA,FA_Suicide,04/01/2024,2334,8.5,month,01/13/2025,
USA,FA_Suicide,05/01/2024,2410,8.5,month,01/13/2025,
USA,FA_Suicide,06/01/2024,2253,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,07/01/2024,2335,8.199999999999999,month,01/13/2025,
USA,FA_Suicide,08/01/2024,2385,8.4,month,01/13/2025,
USA,FA_Suicide,08/01/2024,27398,8.199999999999999,TTM,01/13/2025,"September, 2023 to August, 2024"
USA,FA_Suicide,01/01/2019,23941,7.3,year,01/13/2025,
USA,FA_Suicide,01/01/2020,24292,7.3,year,01/13/2025,
USA,FA_Suicide,01/01/2021,26328,7.9,year,01/13/2025,
USA,FA_Suicide,01/01/2022,27032,8.1,year,01/13/2025,
USA,FA_Suicide,01/01/2023,27306,8.199999999999999,year,01/13/2025,
USA,FA_Homicide,11/01/2019,1228,4.6,month,01/13/2025,
