ADAPLAN,BIKERACK,DESTINAT_A,DESTINAT_B,DESTINAT_C,DESTINAT_D,EQPLAN,FARMEBT,FARMMRKT,FARMPOLICY_A,FARMPOLICY_B,FARMPOLICY_C,FARMPOLICY_D,FARMPOLICY_E,FEMMAT,FEMWEEK,FEMWORK,FOODCOUN,FOODSEC,GENMANDATE,GENPLAN,GENPLANUP,GENPLANYR,GOVSTRUCT_A,GOVSTRUCT_B,GOVSTRUCT_C,GOVSTRUCT_D,GOVSTRUCT_E,GOVSTRUCT_F,HEALTHFOOD_A,HEALTHFOOD_B,HEALTHFOOD_C,HLTHFOODLOW,LEADTEST,LOCALTAC,LOWINCOME,NR_adj_wt,OBPLAN_A,OBPLAN_B,OBPLAN_C,OBPLAN_D,OBPLAN_E,OBPLAN_F,OBPLAN_G,OTHAGREE,OTHCONTRACT,OTHFOOD,OTHGOV,OTHOWN,OTHPLAN_A,OTHPLAN_B,OTHPLAN_C,OTHPLAN_D,OTHPLAN_E,OTHSERVE,PAGOV_A,PAGOV_B,PAGOV_C,PARKPOL_A,PARKPOL_B,PARKPOL_C,PARKPOL_D,PARKPOL_E,PARKPOL_F,PHCOUNC_A,PHCOUNC_B,POPULATIONSIZE,POVERTY_BINARY,PUBAUTH,PUBCOMM_A,PUBCOMM_B,PUBCOMM_C,PUBCOMM_D,PUBCOMM_E,PUBCURRENT,PUBDEMAND,PUBLOC_A,PUBLOC_B,PUBLOC_C,PUBLOC_D,PUBLOC_E,PUBMODES,PUBMULTI,PUBSPECS,PUBTOD,PUBTRANS,REGION,REPTAC_A,REPTAC_B,SCHDOOR,SCHJOINT,SCHREC,SNAP,STOREOPEN_A,STOREOPEN_B,STOREOPEN_C,STRATUMC,STREETADOPT,STREETCOMP,STREETFORM,STREETGOV,STREETMEAS,STREETREVISE,STREETZERO,SU_ID,ZONECODE_A,ZONECODE_B,ZONECODE_C,ZONECODE_D,ZONECODE_E,ZONECODE_F,ZONECODE_G,ZONELOC,ZONEPOL,ZONEREM,ZONEREP_A,ZONEREP_B
1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,97,1,1,1,1,1,3,4,1,1,1,1,1,2,2,1,2,2,77,1,2,5.7865607588,1,1,1,1,1,2,77,97,97,98,97,2,1,2,1,1,2,1,1,2,2,1,1,1,1,77,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,77,1,1,2,2,2,1,1,2,1,97,97,77,77,2,1,2,1,2,1,2,1,2,2,2,11000033,2,1,2,1,1,1,77,1,2,2,2,1
77,2,97,97,97,97,77,77,1,2,1,2,2,1,2,97,77,97,2,1,1,2,77,2,1,1,1,1,2,2,2,1,2,77,1,1,5.7865607588,2,1,1,1,77,1,98,97,97,1,77,77,1,77,1,1,77,1,2,2,1,77,1,1,1,2,2,97,97,2,2,2,1,2,2,1,2,1,2,1,77,1,1,1,97,2,2,2,77,1,2,1,97,97,77,77,2,2,1,1,97,2,2,97,97,97,2,11000034,2,1,1,2,1,1,2,1,2,2,2,1
1,98,98,98,98,98,77,98,1,98,98,98,98,98,98,97,98,97,98,77,1,77,77,1,1,1,1,1,98,98,98,98,97,98,1,97,3.7496270015,1,77,1,77,77,1,77,97,97,98,97,97,1,1,1,1,98,98,1,98,1,98,98,98,98,98,98,97,97,1,2,98,1,98,1,1,1,1,1,98,98,98,98,98,97,98,98,98,98,1,98,98,97,97,98,98,98,98,98,1,2,1,77,5,77,5,77,11000035,98,98,98,98,98,98,98,2,98,98,97,97
77,2,1,2,1,2,77,97,3,1,1,2,2,2,2,97,2,1,1,1,1,4,3,1,1,1,1,1,2,2,2,2,97,77,2,97,5.7865607588,2,1,1,1,1,1,2,97,97,2,97,77,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,97,97,1,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000039,2,2,1,2,2,1,2,1,2,1,2,2
77,77,1,2,1,77,77,77,1,1,1,77,2,2,1,3,1,97,77,1,1,3,5,1,1,1,1,1,2,2,2,2,97,77,1,97,5.7865607588,1,1,2,1,1,1,2,97,97,2,97,97,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,97,97,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,3,1,1,77,2,2,2,1,2,1,1,1,2,2,2,11000040,2,2,2,2,1,1,2,1,2,3,2,1
2,1,97,97,97,97,2,2,1,1,2,1,2,2,1,3,1,97,2,2,1,1,5,1,1,1,1,1,2,2,2,2,97,1,1,1,5.7865607588,1,1,1,1,1,1,1,97,97,1,1,97,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,97,97,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,2,11000041,1,1,1,1,1,1,2,1,2,1,2,1
2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,3,1,97,77,1,1,1,5,2,1,2,1,1,1,2,2,2,97,2,2,97,5.7865607588,1,1,1,1,1,2,1,97,97,2,97,97,1,1,1,1,1,2,1,1,1,1,77,1,1,1,1,97,97,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,97,97,3,1,1,2,2,2,2,1,2,1,1,1,1,2,2,11000043,1,1,1,1,1,1,2,1,2,3,2,1
3,2,97,97,97,97,2,97,4,2,1,2,2,2,1,3,1,97,2,1,1,1,1,2,1,1,1,2,2,2,2,2,97,1,2,97,6.4818129955,2,1,1,77,2,2,2,97,97,2,97,97,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,97,97,3,2,1,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,77,1,97,97,97,97,2,2,2,2,2,1,97,2,2,97,97,97,2,11000045,77,77,77,77,1,2,2,1,2,2,2,1
2,1,1,1,1,1,1,2,1,1,1,77,2,2,2,97,1,97,2,1,1,1,1,2,1,2,1,2,98,2,2,2,97,1,2,2,5.7865607588,1,1,1,1,1,2,1,97,97,2,97,97,1,1,1,1,77,2,1,2,1,2,1,1,1,1,1,97,97,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,97,2,1,77,2,1,97,97,3,1,1,2,1,2,2,1,2,1,2,1,77,2,2,11000049,77,1,2,1,1,1,1,1,1,1,2,1
2,2,97,97,97,97,98,97,2,98,98,98,98,98,2,97,1,1,1,1,1,1,77,2,2,2,1,1,1,98,98,98,97,2,2,97,5.7865607588,2,2,1,1,2,2,2,97,97,98,97,97,1,2,1,1,2,98,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,98,98,98,98,1,98,98,98,98,98,98,97,2,2,2,2,1,97,97,3,1,1,2,98,98,98,1,97,2,2,97,97,97,2,11000050,2,1,2,2,1,1,2,1,2,3,2,2
1,2,97,97,97,97,2,97,3,2,2,2,2,2,1,3,2,97,2,1,1,1,1,2,1,2,1,2,2,2,2,2,97,2,2,97,5.7865607588,2,2,1,1,1,2,2,97,97,2,97,97,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,97,97,2,2,3,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,1,97,97,97,97,2,2,2,2,2,1,97,2,98,97,97,97,2,11000053,2,2,1,2,2,1,2,1,2,2,2,2
77,2,97,97,97,97,77,97,4,1,1,77,2,2,77,97,77,97,2,1,1,2,5,2,1,1,1,1,77,2,2,2,97,1,2,97,5.7865607588,1,77,1,1,1,2,77,97,97,2,97,1,77,2,77,77,77,1,2,2,2,1,1,1,1,2,2,97,97,2,2,77,1,2,2,2,2,1,2,3,3,1,2,2,97,2,2,2,2,1,97,97,3,1,1,77,2,2,2,1,77,1,77,1,77,5,77,11000055,2,2,2,1,2,1,2,1,1,1,1,1
1,2,97,97,97,97,4,97,4,2,2,2,2,2,1,3,1,2,1,1,1,1,5,2,2,2,1,2,2,2,2,2,97,1,2,97,5.7865607588,2,2,2,2,1,2,2,97,97,2,97,97,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,77,1,2,2,2,2,2,2,2,2,2,2,1,1,97,97,3,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000060,2,2,2,2,2,2,2,1,2,2,2,1
77,2,97,97,97,97,2,97,4,77,77,77,2,2,1,77,77,97,2,77,1,3,5,2,1,2,1,2,2,2,2,2,97,77,2,97,5.7865607588,77,77,2,1,2,1,2,97,97,2,97,77,1,2,2,1,2,1,2,2,2,1,77,1,1,2,2,97,97,2,2,3,97,97,97,97,97,77,2,97,97,97,97,97,97,97,97,97,77,1,97,97,97,97,2,2,2,2,2,1,2,1,2,1,77,5,2,11000061,2,2,77,77,2,77,2,1,77,77,2,2
2,2,1,3,1,2,4,97,3,2,1,1,2,2,2,97,1,97,2,1,1,1,5,2,2,2,1,1,2,2,2,2,97,1,2,97,5.7865607588,2,1,1,1,2,2,2,97,97,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,97,97,2,2,2,1,2,2,1,1,1,1,1,3,3,98,1,97,2,2,2,2,1,97,97,3,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000062,2,2,2,2,2,1,2,1,2,3,2,1
77,1,2,1,1,1,2,1,1,1,1,2,2,2,1,3,1,97,2,77,1,1,5,1,1,1,2,1,1,2,2,2,97,2,1,97,5.7865607588,1,1,1,1,1,2,2,97,97,2,97,97,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,97,97,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,97,2,77,2,2,1,1,1,97,97,2,1,2,2,2,1,2,1,2,1,1,4,2,11000063,2,1,1,77,1,77,2,1,2,3,2,1
1,2,97,97,97,97,2,2,1,1,2,2,1,2,2,97,77,97,2,1,1,2,2,2,2,2,1,1,2,2,2,2,97,2,2,97,5.7865607588,1,1,1,1,1,2,1,97,97,2,97,97,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,97,97,2,2,3,2,2,2,2,2,1,2,3,3,3,3,3,97,2,2,2,2,1,97,97,77,1,1,2,2,2,2,1,2,1,1,1,1,1,77,11000065,2,2,2,1,2,2,2,2,2,1,97,97
1,2,97,97,97,97,77,1,1,1,1,77,1,2,98,97,1,1,1,77,1,1,2,2,1,2,1,1,1,2,2,2,97,1,1,97,5.7865607588,1,1,1,1,1,1,1,97,97,2,97,97,1,77,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,98,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,77,1,1,1,77,11000070,77,77,77,77,77,1,77,1,1,2,2,1
3,2,97,97,97,97,4,2,1,1,2,1,2,2,2,97,2,97,2,1,1,2,5,2,2,2,1,2,2,2,2,2,97,2,2,97,5.7865607588,1,1,1,1,2,2,2,97,97,2,97,97,1,1,1,1,2,2,77,2,1,2,2,2,1,2,2,97,97,2,2,2,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,1,97,97,3,1,1,2,2,98,2,1,97,2,2,97,97,97,2,11000073,2,2,2,2,2,1,2,1,2,2,2,2
1,77,2,2,1,2,77,97,4,77,77,77,77,77,1,77,77,97,77,77,1,1,1,2,1,2,1,2,2,77,77,77,97,77,2,97,5.7865607588,1,77,1,77,77,77,77,97,97,1,2,2,77,1,1,1,77,1,1,77,1,2,2,1,1,1,1,97,97,2,2,1,1,2,2,2,77,1,1,3,3,1,77,77,1,1,2,77,1,1,97,97,3,1,1,77,77,77,77,1,1,1,77,1,77,1,77,11000080,77,77,1,77,77,1,77,1,77,3,77,77
1,77,1,1,1,1,2,1,1,2,1,2,1,2,1,3,2,2,1,1,1,1,5,1,1,1,1,1,1,2,2,2,97,1,2,97,5.7865607588,1,1,1,1,1,2,1,97,97,1,2,1,1,77,1,77,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,97,97,97,97,2,1,2,2,2,1,1,1,77,1,77,1,1,11000081,77,77,2,2,2,1,2,1,2,3,2,77
77,77,1,1,3,1,77,77,1,1,77,77,77,77,2,97,77,97,77,77,1,2,4,1,1,98,2,2,2,77,77,77,97,77,2,1,5.7865607588,1,77,1,1,1,77,77,97,97,2,97,97,1,1,1,1,77,2,1,77,1,1,1,1,1,77,77,97,97,2,2,77,2,2,2,2,77,1,1,77,77,3,77,77,1,77,77,77,1,1,97,97,3,1,1,77,1,1,77,1,2,1,77,1,77,2,77,11000084,77,77,77,77,1,1,77,1,77,77,2,1
2,2,97,97,97,97,4,97,2,2,2,2,2,2,2,97,1,97,2,1,1,1,5,2,1,1,1,1,2,2,2,2,97,2,2,97,5.7865607588,77,1,1,2,77,2,2,97,97,2,97,97,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,97,97,2,2,3,1,2,2,2,2,1,2,2,3,2,2,2,97,2,2,2,2,1,97,97,2,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000086,2,2,2,2,2,2,2,1,2,3,2,2
1,77,1,1,1,1,1,1,1,77,77,77,77,77,1,3,1,1,1,77,1,1,77,1,1,1,1,1,77,77,77,1,1,1,2,1,5.7865607588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,98,1,1,1,1,1,1,1,1,1,1,77,1,1,97,97,3,1,1,2,77,1,1,1,3,1,77,1,77,2,77,11000088,1,1,1,1,1,1,1,1,1,77,2,1
77,2,97,97,97,97,1,2,1,1,2,2,2,2,77,97,77,97,2,1,1,3,5,2,1,1,1,1,2,2,2,2,97,77,2,97,5.7865607588,1,77,77,2,1,2,2,97,97,2,97,97,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,97,97,2,2,77,1,1,2,2,2,1,2,2,2,2,2,2,97,2,2,2,77,1,97,97,97,97,2,2,2,2,2,1,97,77,1,97,97,97,2,11000092,2,2,2,2,2,1,2,1,2,3,2,2
1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,97,2,97,97,2,1,2,1,1,2,2,2,1,2,1,2,97,5.7865607588,1,1,1,1,1,2,77,97,97,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,97,97,3,1,1,2,2,2,2,1,97,77,2,97,97,97,2,11000095,2,2,2,1,1,1,2,1,1,2,1,1
77,77,97,97,97,97,77,97,4,2,2,2,2,2,77,97,77,97,77,1,1,4,3,2,1,2,2,2,2,2,2,2,97,77,2,97,6.4818129955,77,77,77,1,77,77,1,97,97,2,97,97,1,2,2,2,2,2,2,77,1,1,1,77,1,1,1,97,97,3,2,77,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,1,97,97,97,97,3,77,2,2,2,1,97,77,77,97,97,97,77,11000099,77,77,77,77,77,77,77,1,2,3,2,2
77,77,97,97,97,97,2,77,1,1,1,1,2,2,2,97,1,97,2,77,1,1,2,77,1,77,1,77,77,2,2,2,97,77,2,97,5.7865607588,77,77,1,77,1,77,77,97,97,1,77,97,1,77,77,1,77,77,1,1,1,1,77,1,77,77,77,97,97,2,2,2,1,2,2,1,98,1,2,77,1,77,77,77,97,1,1,77,2,1,97,97,97,97,77,77,2,2,2,1,97,77,77,97,97,97,77,11000100,1,1,1,2,1,77,77,1,77,77,77,1
1,2,97,97,97,97,2,97,3,1,2,2,2,2,2,97,1,97,2,1,1,2,5,2,1,1,1,1,2,2,2,2,97,2,2,97,5.7865607588,1,1,1,1,1,1,1,97,97,2,97,97,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,97,97,2,2,2,97,97,97,97,97,3,2,97,97,97,97,97,97,97,97,97,2,1,97,97,3,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000104,1,1,1,1,1,1,2,1,1,2,2,1
1,1,98,1,1,98,2,97,98,98,98,98,98,98,98,97,98,97,98,2,1,4,5,1,1,1,1,1,77,98,98,98,97,98,98,97,3.7496270015,1,1,1,1,1,77,1,97,97,98,97,97,1,1,1,1,77,98,1,1,1,1,1,1,1,1,1,97,97,1,2,98,1,1,1,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97,97,3,1,1,98,98,98,98,1,3,1,1,1,1,4,1,11000105,98,1,98,98,1,1,1,1,1,98,77,1
2,1,97,97,97,97,3,97,3,2,2,2,2,2,2,97,1,97,2,1,1,1,5,2,1,2,1,2,2,2,2,2,97,1,2,97,6.4818129955,1,1,1,1,1,2,1,97,97,2,97,97,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,97,97,3,2,2,1,1,1,2,2,1,2,3,3,3,1,1,97,2,2,2,2,1,97,97,97,97,2,2,2,2,2,1,2,1,2,1,2,2,2,11000106,1,1,1,1,1,1,2,1,2,3,1,1
77,2,97,97,97,97,77,2,1,2,2,2,2,2,2,97,1,97,2,1,1,1,5,1,1,1,1,1,98,2,2,2,97,2,1,97,5.7865607588,1,77,1,1,1,77,1,97,97,2,97,97,1,1,1,1,98,2,1,2,1,1,1,1,1,2,2,97,97,2,2,3,1,2,2,2,1,1,77,3,3,3,3,3,97,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,77,1,77,1,2,11000107,77,77,77,77,77,77,77,1,77,77,2,1
77,2,97,97,97,97,77,97,4,2,2,2,2,2,1,2,2,97,2,1,1,2,77,2,1,1,1,1,2,2,2,2,97,1,2,97,5.7865607588,77,77,77,77,77,77,77,97,97,2,97,97,77,2,2,2,77,2,2,2,1,1,1,77,1,1,77,97,97,2,2,1,1,2,2,2,2,1,77,3,3,1,1,1,97,77,77,2,77,1,97,97,97,97,2,2,2,2,2,1,97,2,2,97,97,97,77,11000112,2,77,77,77,2,1,77,1,2,2,2,2
1,2,1,77,1,77,2,97,2,2,1,2,2,2,1,2,1,1,1,1,1,2,5,2,1,2,1,2,2,2,2,2,97,1,2,97,5.7865607588,1,77,1,1,2,2,77,97,97,1,2,97,1,77,77,77,77,2,77,77,1,1,1,1,1,77,77,2,1,2,2,2,97,97,97,97,97,3,1,97,97,97,97,97,2,97,97,97,1,1,97,97,97,97,2,77,2,2,2,1,97,77,77,97,97,97,77,11000114,2,1,1,1,1,1,77,1,77,3,2,1
77,1,97,97,97,97,1,97,2,1,2,2,2,2,2,97,1,97,2,1,1,1,5,2,1,2,2,1,1,2,2,2,97,77,2,97,6.4818129955,77,1,1,1,1,77,1,97,97,2,97,97,1,1,1,1,1,2,77,77,1,1,77,77,1,2,2,97,97,3,2,77,97,97,97,97,97,77,2,97,97,97,97,97,1,97,97,97,1,1,97,97,97,97,2,77,2,2,2,1,2,1,77,1,77,1,77,11000117,77,77,77,1,77,1,1,1,77,3,2,2
77,2,97,97,97,97,4,97,4,2,2,2,2,2,2,97,2,97,2,1,1,2,5,2,1,2,1,1,2,2,2,2,97,2,2,97,5.7865607588,2,2,2,2,2,2,2,97,97,2,97,97,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,97,97,2,2,3,1,2,1,2,2,1,2,3,3,3,2,2,97,2,2,2,2,1,97,97,3,1,1,2,2,2,2,1,97,2,2,97,97,97,2,11000123,2,2,2,2,2,2,2,1,2,3,2,1
1,1,1,2,1,2,2,97,3,1,1,1,2,2,2,97,1,97,77,2,1,1,77,98,1,1,1,1,98,2,2,2,97,1,2,2,5.7865607588,2,2,1,1,1,2,2,97,97,1,2,97,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,97,97,2,2,3,1,2,1,1,2,1,1,1,1,1,1,3,97,1,2,2,2,1,97,97,3,1,1,2,2,2,1,1,97,2,2,97,97,97,2,11000125,2,2,1,1,1,1,2,1,2,3,2,2
1,2,1,1,1,1,2,77,1,1,77,77,77,77,2,97,2,77,1,1,1,2,5,1,1,1,1,1,77,77,77,77,97,1,2,1,3.7496270015,1,1,1,1,1,77,1,97,97,1,77,97,1,1,1,1,2,77,1,77,1,1,1,1,1,1,1,77,77,1,1,77,1,77,1,1,1,1,1,77,77,77,77,1,97,77,1,77,77,1,97,97,3,1,1,77,1,77,1,1,77,1,2,3,1,77,2,11000127,77,1,1,77,77,1,77,1,1,1,1,1
3,1,2,2,1,1,4,2,1,1,1,2,1,1,1,4,2,97,2,1,1,5,2,1,1,2,1,1,2,2,2,2,97,2,2,97,5.7865607588,1,2,1,1,1,2,2,97,97,2,97,97,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,97,97,2,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,97,97,3,1,1,2,2,2,2,1,1,1,2,1,2,5,2,11000132,2,2,2,1,1,1,2,1,2,3,2,1
